year,state,state_abbr,dem_vote,rep_vote,total_vote,dem_percent,rep_percent
1976,alabama,al,659170,504070,1163240,0.5667,0.4333
1976,alaska,ak,44058,71555,115613,0.3811,0.6189
1976,arizona,az,295602,418642,714244,0.4139,0.5861
1976,arkansas,ar,498604,267903,766507,0.6505,0.3495
1976,california,ca,3742284,3882244,7624528,0.4908,0.5092
1976,colorado,co,460801,584278,1045079,0.4409,0.5591
1976,connecticut,ct,647895,719261,1367156,0.4739,0.5261
1976,delaware,de,122461,109780,232241,0.5273,0.4727
1976,district-of-columbia,dc,137818,27873,165691,0.8318,0.1682
1976,florida,fl,1636000,1469531,3105531,0.5268,0.4732
1976,georgia,ga,979409,483743,1463152,0.6694,0.3306
1976,hawaii,hi,147375,140003,287378,0.5128,0.4872
1976,idaho,id,126549,204151,330700,0.3827,0.6173
1976,illinois,il,2271295,2364269,4635564,0.49,0.51
1976,indiana,in,1014714,1183958,2198672,0.4615,0.5385
1976,iowa,ia,619931,632864,1252795,0.4948,0.5052
1976,kansas,ks,430421,502752,933173,0.4612,0.5388
1976,kentucky,ky,615717,531852,1147569,0.5365,0.4635
1976,louisiana,la,661365,587446,1248811,0.5296,0.4704
1976,maine,me,232279,236320,468599,0.4957,0.5043
1976,maryland,md,759612,672661,1432273,0.5304,0.4696
1976,massachusetts,ma,1429475,1030276,2459751,0.5811,0.4189
1976,michigan,mi,1696714,1893742,3590456,0.4726,0.5274
1976,minnesota,mn,1070440,819395,1889835,0.5664,0.4336
1976,mississippi,ms,381329,366846,748175,0.5097,0.4903
1976,missouri,mo,998387,927443,1925830,0.5184,0.4816
1976,montana,mt,149259,173703,322962,0.4622,0.5378
1976,nebraska,ne,233293,359219,592512,0.3937,0.6063
1976,nevada,nv,92479,101273,193752,0.4773,0.5227
1976,new-hampshire,nh,147645,185935,333580,0.4426,0.5574
1976,new-jersey,nj,1444653,1509688,2954341,0.489,0.511
1976,new-mexico,nm,201148,211419,412567,0.4876,0.5124
1976,new-york,ny,3244165,2825913,6070078,0.5345,0.4655
1976,north-carolina,nc,927365,741960,1669325,0.5555,0.4445
1976,north-dakota,nd,136078,153684,289762,0.4696,0.5304
1976,ohio,oh,2009959,2000626,4010585,0.5012,0.4988
1976,oklahoma,ok,532442,545708,1078150,0.4938,0.5062
1976,oregon,or,490407,492120,982527,0.4991,0.5009
1976,pennsylvania,pa,2328677,2205604,4534281,0.5136,0.4864
1976,rhode-island,ri,227636,181249,408885,0.5567,0.4433
1976,south-carolina,sc,450807,346149,796956,0.5657,0.4343
1976,south-dakota,sd,147068,151505,298573,0.4926,0.5074
1976,tennessee,tn,825879,633969,1459848,0.5657,0.4343
1976,texas,tx,2082319,1953300,4035619,0.516,0.484
1976,utah,ut,182110,337908,520018,0.3502,0.6498
1976,vermont,vt,77798,100387,178185,0.4366,0.5634
1976,virginia,va,813896,836554,1650450,0.4931,0.5069
1976,washington,wa,717323,777732,1495055,0.4798,0.5202
1976,west-virginia,wv,435864,314726,750590,0.5807,0.4193
1976,wisconsin,wi,1040232,1004987,2045219,0.5086,0.4914
1976,wyoming,wy,62239,92717,154956,0.4017,0.5983
1980,alabama,al,636730,654192,1290922,0.4932,0.5068
1980,alaska,ak,41842,86112,127954,0.327,0.673
1980,arizona,az,246843,529688,776531,0.3179,0.6821
1980,arkansas,ar,398041,403164,801205,0.4968,0.5032
1980,california,ca,3082943,4522994,7605937,0.4053,0.5947
1980,colorado,co,368009,652264,1020273,0.3607,0.6393
1980,connecticut,ct,541732,677210,1218942,0.4444,0.5556
1980,delaware,de,105754,111252,217006,0.4873,0.5127
1980,district-of-columbia,dc,130231,23313,153544,0.8482,0.1518
1980,florida,fl,1419475,2046951,3466426,0.4095,0.5905
1980,georgia,ga,890955,654168,1545123,0.5766,0.4234
1980,hawaii,hi,135879,130112,265991,0.5108,0.4892
1980,idaho,id,110192,290699,400891,0.2749,0.7251
1980,illinois,il,1981413,2358049,4339462,0.4566,0.5434
1980,indiana,in,844197,1255656,2099853,0.402,0.598
1980,iowa,ia,508672,676026,1184698,0.4294,0.5706
1980,kansas,ks,326150,566812,892962,0.3652,0.6348
1980,kentucky,ky,617417,635274,1252691,0.4929,0.5071
1980,louisiana,la,708453,792853,1501306,0.4719,0.5281
1980,maine,me,220974,238522,459496,0.4809,0.5191
1980,maryland,md,726161,680606,1406767,0.5162,0.4838
1980,massachusetts,ma,1053802,1057631,2111433,0.4991,0.5009
1980,michigan,mi,1661532,1915225,3576757,0.4645,0.5355
1980,minnesota,mn,954173,873268,1827441,0.5221,0.4779
1980,mississippi,ms,429281,441089,870370,0.4932,0.5068
1980,missouri,mo,931182,1074181,2005363,0.4643,0.5357
1980,montana,mt,118032,206814,324846,0.3633,0.6367
1980,nebraska,ne,166424,419214,585638,0.2842,0.7158
1980,nevada,nv,66666,155017,221683,0.3007,0.6993
1980,new-hampshire,nh,108864,221705,330569,0.3293,0.6707
1980,new-jersey,nj,1147364,1546557,2693921,0.4259,0.5741
1980,new-mexico,nm,167826,250779,418605,0.4009,0.5991
1980,new-york,ny,2728372,2637700,5366072,0.5084,0.4916
1980,north-carolina,nc,875635,915018,1790653,0.489,0.511
1980,north-dakota,nd,79189,193695,272884,0.2902,0.7098
1980,ohio,oh,1752414,2206545,3958959,0.4426,0.5574
1980,oklahoma,ok,402026,695570,1097596,0.3663,0.6337
1980,oregon,or,456890,571044,1027934,0.4445,0.5555
1980,pennsylvania,pa,1937540,2261872,4199412,0.4614,0.5386
1980,rhode-island,ri,198342,154793,353135,0.5617,0.4383
1980,south-carolina,sc,428220,439277,867497,0.4936,0.5064
1980,south-dakota,sd,103855,198343,302198,0.3437,0.6563
1980,tennessee,tn,783051,787761,1570812,0.4985,0.5015
1980,texas,tx,1881147,2510705,4391852,0.4283,0.5717
1980,utah,ut,124266,439687,563953,0.2203,0.7797
1980,vermont,vt,81952,94628,176580,0.4641,0.5359
1980,virginia,va,752174,989609,1741783,0.4318,0.5682
1980,washington,wa,650193,865244,1515437,0.429,0.571
1980,west-virginia,wv,367462,334206,701668,0.5237,0.4763
1980,wisconsin,wi,981584,1088845,2070429,0.4741,0.5259
1980,wyoming,wy,49427,110700,160127,0.3087,0.6913
1984,alabama,al,551899,872849,1424748,0.3874,0.6126
1984,alaska,ak,62007,138377,200384,0.3094,0.6906
1984,arizona,az,333854,681416,1015270,0.3288,0.6712
1984,arkansas,ar,338646,534774,873420,0.3877,0.6123
1984,california,ca,3922519,5467009,9389528,0.4178,0.5822
1984,colorado,co,454975,821817,1276792,0.3563,0.6437
1984,connecticut,ct,569597,890877,1460474,0.39,0.61
1984,delaware,de,101656,152190,253846,0.4005,0.5995
1984,district-of-columbia,dc,180408,29009,209417,0.8615,0.1385
1984,florida,fl,1448816,2730350,4179166,0.3467,0.6533
1984,georgia,ga,706628,1068722,1775350,0.398,0.602
1984,hawaii,hi,147154,185050,332204,0.443,0.557
1984,idaho,id,108510,297523,406033,0.2672,0.7328
1984,illinois,il,2086499,2707103,4793602,0.4353,0.5647
1984,indiana,in,841481,1377230,2218711,0.3793,0.6207
1984,iowa,ia,605620,703088,1308708,0.4628,0.5372
1984,kansas,ks,333149,677296,1010445,0.3297,0.6703
1984,kentucky,ky,539539,821702,1361241,0.3964,0.6036
1984,louisiana,la,651586,1037299,1688885,0.3858,0.6142
1984,maine,me,214515,336500,551015,0.3893,0.6107
1984,maryland,md,787935,879918,1667853,0.4724,0.5276
1984,massachusetts,ma,1239606,1310936,2550542,0.486,0.514
1984,michigan,mi,1529638,2251571,3781209,0.4045,0.5955
1984,minnesota,mn,1036364,1032603,2068967,0.5009,0.4991
1984,mississippi,ms,352192,582377,934569,0.3768,0.6232
1984,missouri,mo,848583,1274188,2122771,0.3998,0.6002
1984,montana,mt,146742,232450,379192,0.387,0.613
1984,nebraska,ne,187866,460054,647920,0.29,0.71
1984,nevada,nv,91655,188770,280425,0.3268,0.6732
1984,new-hampshire,nh,120347,267050,387397,0.3107,0.6893
1984,new-jersey,nj,1261323,1933630,3194953,0.3948,0.6052
1984,new-mexico,nm,201769,307101,508870,0.3965,0.6035
1984,new-york,ny,3001285,3376519,6377804,0.4706,0.5294
1984,north-carolina,nc,824287,1346481,2170768,0.3797,0.6203
