year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party,writein,candidatevotes,totalvotes,version,notes
1976,alabama,al,1,63,41,US President,"Carter, Jimmy",democrat,0,659170,1182850,20171015,
1976,alabama,al,1,63,41,US President,"Ford, Gerald",republican,0,504070,1182850,20171015,
1976,alaska,ak,2,94,81,US President,"Ford, Gerald",republican,0,71555,123574,20171015,
1976,alaska,ak,2,94,81,US President,"Carter, Jimmy",democrat,0,44058,123574,20171015,
1976,arizona,az,4,86,61,US President,"Ford, Gerald",republican,0,418642,742719,20171015,
1976,arizona,az,4,86,61,US President,"Carter, Jimmy",democrat,0,295602,742719,20171015,
1976,arkansas,ar,5,71,42,US President,"Carter, Jimmy",democrat,0,498604,767535,20171015,
1976,arkansas,ar,5,71,42,US President,"Ford, Gerald",republican,0,267903,767535,20171015,
1976,california,ca,6,93,71,US President,"Ford, Gerald",republican,0,3882244,7803770,20171015,
1976,california,ca,6,93,71,US President,"Carter, Jimmy",democrat,0,3742284,7803770,20171015,
1976,colorado,co,8,84,62,US President,"Ford, Gerald",republican,0,584278,1081440,20171015,
1976,colorado,co,8,84,62,US President,"Carter, Jimmy",democrat,0,460801,1081440,20171015,
1976,connecticut,ct,9,16,1,US President,"Ford, Gerald",republican,0,719261,1386355,20171015,
1976,connecticut,ct,9,16,1,US President,"Carter, Jimmy",democrat,0,647895,1386355,20171015,
1976,delaware,de,10,51,11,US President,"Carter, Jimmy",democrat,0,122461,235642,20171015,
1976,delaware,de,10,51,11,US President,"Ford, Gerald",republican,0,109780,235642,20171015,
1976,district-of-columbia,dc,11,53,55,US President,"Carter, Jimmy",democrat,0,137818,168830,20171015,
1976,district-of-columbia,dc,11,53,55,US President,"Ford, Gerald",republican,0,27873,168830,20171015,
1976,florida,fl,12,59,43,US President,"Carter, Jimmy",democrat,0,1636000,3150631,20171015,
1976,florida,fl,12,59,43,US President,"Ford, Gerald",republican,0,1469531,3150631,20171015,
1976,georgia,ga,13,58,44,US President,"Carter, Jimmy",democrat,0,979409,1463152,20171015,
1976,georgia,ga,13,58,44,US President,"Ford, Gerald",republican,0,483743,1463152,20171015,
1976,hawaii,hi,15,95,82,US President,"Carter, Jimmy",democrat,0,147375,291301,20171015,
1976,hawaii,hi,15,95,82,US President,"Ford, Gerald",republican,0,140003,291301,20171015,
1976,idaho,id,16,82,63,US President,"Ford, Gerald",republican,0,204151,340932,20171015,
1976,idaho,id,16,82,63,US President,"Carter, Jimmy",democrat,0,126549,340932,20171015,
1976,illinois,il,17,33,21,US President,"Ford, Gerald",republican,0,2364269,4721282,20171015,
1976,illinois,il,17,33,21,US President,"Carter, Jimmy",democrat,0,2271295,4721282,20171015,
1976,indiana,in,18,32,22,US President,"Ford, Gerald",republican,0,1183958,2220362,20171015,
1976,indiana,in,18,32,22,US President,"Carter, Jimmy",democrat,0,1014714,2220362,20171015,
1976,iowa,ia,19,42,31,US President,"Ford, Gerald",republican,0,632864,1279303,20171015,
1976,iowa,ia,19,42,31,US President,"Carter, Jimmy",democrat,0,619931,1279303,20171015,
1976,kansas,ks,20,47,32,US President,"Ford, Gerald",republican,0,502752,957845,20171015,
1976,kansas,ks,20,47,32,US President,"Carter, Jimmy",democrat,0,430421,957845,20171015,
1976,kentucky,ky,21,61,51,US President,"Carter, Jimmy",democrat,0,615717,1167142,20171015,
1976,kentucky,ky,21,61,51,US President,"Ford, Gerald",republican,0,531852,1167142,20171015,
1976,louisiana,la,22,72,45,US President,"Carter, Jimmy",democrat,0,661365,1277383,20171015,
1976,louisiana,la,22,72,45,US President,"Ford, Gerald",republican,0,587446,1277383,20171015,
1976,maine,me,23,11,2,US President,"Ford, Gerald",republican,0,236320,482968,20171015,
1976,maine,me,23,11,2,US President,"Carter, Jimmy",democrat,0,232279,482968,20171015,
1976,maryland,md,24,52,52,US President,"Carter, Jimmy",democrat,0,759612,1432273,20171015,
1976,maryland,md,24,52,52,US President,"Ford, Gerald",republican,0,672661,1432273,20171015,
1976,massachusetts,ma,25,14,3,US President,"Carter, Jimmy",democrat,0,1429475,2547558,20171015,
1976,massachusetts,ma,25,14,3,US President,"Ford, Gerald",republican,0,1030276,2547558,20171015,
1976,michigan,mi,26,34,23,US President,"Ford, Gerald",republican,0,1893742,3651590,20171015,
1976,michigan,mi,26,34,23,US President,"Carter, Jimmy",democrat,0,1696714,3651590,20171015,
1976,minnesota,mn,27,41,33,US President,"Carter, Jimmy",democrat,0,1070440,1949931,20171015,
1976,minnesota,mn,27,41,33,US President,"Ford, Gerald",republican,0,819395,1949931,20171015,
1976,mississippi,ms,28,64,46,US President,"Carter, Jimmy",democrat,0,381329,768390,20171015,
1976,mississippi,ms,28,64,46,US President,"Ford, Gerald",republican,0,366846,768390,20171015,
1976,missouri,mo,29,43,34,US President,"Carter, Jimmy",democrat,0,998387,1953600,20171015,
1976,missouri,mo,29,43,34,US President,"Ford, Gerald",republican,0,927443,1953600,20171015,
1976,montana,mt,30,81,64,US President,"Ford, Gerald",republican,0,173703,328734,20171015,
1976,montana,mt,30,81,64,US President,"Carter, Jimmy",democrat,0,149259,328734,20171015,
