year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party,writein,candidatevotes,totalvotes,version,notes,vote_percentage,winner,chenged_percentage
1976,alabama,al,1,63,41,US President,"Carter, Jimmy",democrat,0,659170,1182850,20171015,,0.5573,1,0.0
1976,alabama,al,1,63,41,US President,"Ford, Gerald",republican,0,504070,1182850,20171015,,0.4261,0,0.0
1976,alaska,ak,2,94,81,US President,"Ford, Gerald",republican,0,71555,123574,20171015,,0.579,1,0.0
1976,alaska,ak,2,94,81,US President,"Carter, Jimmy",democrat,0,44058,123574,20171015,,0.3565,0,0.0
1976,arizona,az,4,86,61,US President,"Ford, Gerald",republican,0,418642,742719,20171015,,0.5637,1,0.0
1976,arizona,az,4,86,61,US President,"Carter, Jimmy",democrat,0,295602,742719,20171015,,0.398,0,0.0
1976,arkansas,ar,5,71,42,US President,"Carter, Jimmy",democrat,0,498604,767535,20171015,,0.6496,1,0.0
1976,arkansas,ar,5,71,42,US President,"Ford, Gerald",republican,0,267903,767535,20171015,,0.349,0,0.0
1976,california,ca,6,93,71,US President,"Ford, Gerald",republican,0,3882244,7803770,20171015,,0.4975,1,0.0
1976,california,ca,6,93,71,US President,"Carter, Jimmy",democrat,0,3742284,7803770,20171015,,0.4795,0,0.0
1976,colorado,co,8,84,62,US President,"Ford, Gerald",republican,0,584278,1081440,20171015,,0.5403,1,0.0
1976,colorado,co,8,84,62,US President,"Carter, Jimmy",democrat,0,460801,1081440,20171015,,0.4261,0,0.0
1976,connecticut,ct,9,16,1,US President,"Ford, Gerald",republican,0,719261,1386355,20171015,,0.5188,1,0.0
1976,connecticut,ct,9,16,1,US President,"Carter, Jimmy",democrat,0,647895,1386355,20171015,,0.4673,0,0.0
1976,delaware,de,10,51,11,US President,"Carter, Jimmy",democrat,0,122461,235642,20171015,,0.5197,1,0.0
1976,delaware,de,10,51,11,US President,"Ford, Gerald",republican,0,109780,235642,20171015,,0.4659,0,0.0
1976,district-of-columbia,dc,11,53,55,US President,"Carter, Jimmy",democrat,0,137818,168830,20171015,,0.8163,1,0.0
1976,district-of-columbia,dc,11,53,55,US President,"Ford, Gerald",republican,0,27873,168830,20171015,,0.1651,0,0.0
1976,florida,fl,12,59,43,US President,"Carter, Jimmy",democrat,0,1636000,3150631,20171015,,0.5193,1,0.0
1976,florida,fl,12,59,43,US President,"Ford, Gerald",republican,0,1469531,3150631,20171015,,0.4664,0,0.0
1976,georgia,ga,13,58,44,US President,"Carter, Jimmy",democrat,0,979409,1463152,20171015,,0.6694,1,0.0
1976,georgia,ga,13,58,44,US President,"Ford, Gerald",republican,0,483743,1463152,20171015,,0.3306,0,0.0
1976,hawaii,hi,15,95,82,US President,"Carter, Jimmy",democrat,0,147375,291301,20171015,,0.5059,1,0.0
1976,hawaii,hi,15,95,82,US President,"Ford, Gerald",republican,0,140003,291301,20171015,,0.4806,0,0.0
1976,idaho,id,16,82,63,US President,"Ford, Gerald",republican,0,204151,340932,20171015,,0.5988,1,0.0
1976,idaho,id,16,82,63,US President,"Carter, Jimmy",democrat,0,126549,340932,20171015,,0.3712,0,0.0
1976,illinois,il,17,33,21,US President,"Ford, Gerald",republican,0,2364269,4721282,20171015,,0.5008,1,0.0
1976,illinois,il,17,33,21,US President,"Carter, Jimmy",democrat,0,2271295,4721282,20171015,,0.4811,0,0.0
