state,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
alabama,"(24.324, 0)","(26.725, 9.87)","(30.546, 14.3)","(33.712, 10.36)","(36.142, 7.21)","(40.257, 11.39)","(41.778, 3.78)","(45.679, 9.34)","(50.01, 9.48)","(53.824, 7.63)","(56.134, 4.29)","(60.752, 8.23)","(66.008, 8.65)","(68.394, 3.61)","(71.61, 4.7)","(76.043, 6.19)","(81.26, 6.86)","(84.563, 4.06)","(90.098, 6.55)","(95.819, 6.35)","(100.146, 4.52)","(104.717, 4.56)","(110.181, 5.22)","(115.833, 5.13)","(120.133, 3.71)","(123.035, 2.42)","(128.117, 4.13)","(133.969, 4.57)","(146.887, 9.64)","(156.403, 6.48)","(164.348, 5.08)","(170.264, 3.6)","(172.677, 1.42)","(169.129, -2.05)","(175.47, 3.75)","(181.93, 3.68)","(186.554, 2.54)","(192.167, 3.01)","(195.038, 1.49)","(200.198, 2.65)","(204.455, 2.13)","(210.896, 3.15)","(221.031, 4.81)","(228.143, 3.22)"
alaska,"(7.47, 0)","(7.544, 0.99)","(9.13, 21.02)","(10.891, 19.29)","(15.282, 40.32)","(21.824, 42.81)","(23.461, 7.5)","(22.591, -3.71)","(23.787, 5.29)","(26.142, 9.9)","(19.181, -26.63)","(22.925, 19.52)","(21.27, -7.22)","(23.453, 10.26)","(25.04, 6.77)","(22.283, -11.01)","(22.753, 2.11)","(23.284, 2.33)","(23.605, 1.38)","(25.449, 7.81)","(26.737, 5.06)","(25.8, -3.5)","(24.228, -6.09)","(24.779, 2.27)","(26.816, 8.22)","(28.455, 6.11)","(29.633, 4.14)","(31.79, 7.28)","(34.988, 10.06)","(39.789, 13.72)","(44.457, 11.73)","(49.003, 10.23)","(54.759, 11.75)","(49.652, -9.33)","(52.948, 6.64)","(56.334, 6.39)","(57.718, 2.46)","(56.625, -1.89)","(55.751, -1.54)","(50.728, -9.01)","(49.756, -1.92)","(51.737, 3.98)","(54.293, 4.94)","(54.386, 0.17)"
arizona,"(16.97, 0)","(19.609, 15.55)","(23.279, 18.72)","(27.495, 18.11)","(30.764, 11.89)","(34.269, 11.39)","(35.794, 4.45)","(39.774, 11.12)","(46.135, 15.99)","(50.709, 9.91)","(55.881, 10.2)","(60.047, 7.46)","(64.945, 8.16)","(67.895, 4.54)","(70.632, 4.03)","(73.358, 3.86)","(82.682, 12.71)","(89.3, 8.0)","(100.374, 12.4)","(109.906, 9.5)","(119.53, 8.76)","(132.291, 10.68)","(143.286, 8.31)","(155.283, 8.37)","(164.61, 6.01)","(171.481, 4.17)","(179.476, 4.66)","(192.765, 7.4)","(205.391, 6.55)","(228.233, 11.12)","(248.154, 8.73)","(262.245, 5.68)","(259.263, -1.14)","(243.765, -5.98)","(248.125, 1.79)","(257.881, 3.93)","(268.068, 3.95)","(275.008, 2.59)","(284.851, 3.58)","(298.615, 4.83)","(313.057, 4.84)","(330.147, 5.46)","(350.718, 6.23)","(370.119, 5.53)"
arkansas,"(13.704, 0)","(15.182, 10.79)","(17.477, 15.12)","(19.099, 9.28)","(20.276, 6.16)","(22.891, 12.9)","(23.527, 2.78)","(25.292, 7.5)","(28.465, 12.55)","(29.326, 3.02)","(30.799, 5.02)","(32.664, 6.06)","(35.004, 7.16)","(37.128, 6.07)","(38.68, 4.18)","(41.572, 7.48)","(45.018, 8.29)","(47.566, 5.66)","(51.416, 8.09)","(54.612, 6.22)","(57.976, 6.16)","(59.827, 3.19)","(62.398, 4.3)","(66.791, 7.04)","(68.74, 2.92)","(70.68, 2.82)","(73.987, 4.68)","(78.306, 5.84)","(84.557, 7.98)","(89.643, 6.01)","(94.452, 5.36)","(96.992, 2.69)","(99.014, 2.08)","(96.984, -2.05)","(100.971, 4.11)","(105.108, 4.1)","(107.719, 2.48)","(112.765, 4.68)","(116.152, 3.0)","(117.734, 1.36)","(119.192, 1.24)","(122.979, 3.18)","(127.761, 3.89)","(130.954, 2.5)"
california,"(197.347, 0)","(229.592, 16.34)","(262.803, 14.47)","(293.491, 11.68)","(327.958, 11.74)","(368.808, 12.46)","(393.788, 6.77)","(426.143, 8.22)","(482.166, 13.15)","(523.906, 8.66)","(563.082, 7.48)","(615.359, 9.28)","(671.575, 9.14)","(722.979, 7.65)","(773.46, 6.98)","(790.046, 2.14)","(807.358, 2.19)","(826.447, 2.36)","(861.36, 4.22)","(911.577, 5.83)","(964.186, 5.77)","(1071.327, 11.11)","(1147.944, 7.15)","(1247.734, 8.69)","(1366.167, 9.49)","(1387.552, 1.57)","(1439.342, 3.73)","(1530.56, 6.34)","(1632.429, 6.66)","(1752.649, 7.36)","(1874.851, 6.97)","(1955.321, 4.29)","(1990.188, 1.78)","(1919.271, -3.56)","(1973.512, 2.83)","(2049.337, 3.84)","(2144.09, 4.62)","(2261.511, 5.48)","(2399.078, 6.08)","(2559.643, 6.69)","(2671.101, 4.35)","(2831.038, 5.99)","(2975.083, 5.09)","(3132.801, 5.3)"
colorado,"(22.253, 0)","(25.428, 14.27)","(29.398, 15.61)","(33.785, 14.92)","(38.332, 13.46)","(43.974, 14.72)","(47.654, 8.37)","(50.718, 6.43)","(56.23, 10.87)","(59.641, 6.07)","(60.97, 2.23)","(63.92, 4.84)","(67.757, 6.0)","(71.179, 5.05)","(75.571, 6.17)","(79.766, 5.55)","(87.302, 9.45)","(95.659, 9.57)","(104.507, 9.25)","(112.708, 7.85)","(121.081, 7.43)","(136.917, 13.08)","(150.364, 9.82)","(164.132, 9.16)","(180.693, 10.09)","(187.546, 3.79)","(191.062, 1.87)","(196.769, 2.99)","(204.375, 3.87)","(220.307, 7.8)","(231.256, 4.97)","(246.151, 6.44)","(255.83, 3.93)","(248.669, -2.8)","(255.661, 2.81)","(264.31, 3.38)","(273.594, 3.51)","(288.384, 5.41)","(305.691, 6.0)","(317.992, 4.02)","(327.757, 3.07)","(348.176, 6.23)","(372.453, 6.97)","(392.986, 5.51)"
connecticut,"(26.233, 0)","(29.598, 12.83)","(33.231, 12.27)","(36.855, 10.91)","(40.77, 10.62)","(45.642, 11.95)","(50.196, 9.98)","(55.528, 10.62)","(63.618, 14.57)","(69.231, 8.82)","(75.305, 8.77)","(82.984, 10.2)","(90.707, 9.31)","(95.831, 5.65)","(100.169, 4.53)","(101.475, 1.3)","(105.759, 4.22)","(107.68, 1.82)","(113.115, 5.05)","(123.212, 8.93)","(129.111, 4.79)","(138.548, 7.31)","(145.433, 4.97)","(152.354, 4.76)","(165.822, 8.84)","(172.835, 4.23)","(176.192, 1.94)","(181.23, 2.86)","(198.282, 9.41)","(208.661, 5.23)","(222.914, 6.83)","(237.398, 6.5)","(240.576, 1.34)","(236.922, -1.52)","(238.052, 0.48)","(236.816, -0.52)","(244.114, 3.08)","(244.128, 0.01)","(248.779, 1.91)","(262.373, 5.46)","(266.747, 1.67)","(272.57, 2.18)","(279.782, 2.65)","(287.822, 2.87)"
delaware,"(5.47, 0)","(6.056, 10.71)","(6.747, 11.41)","(7.304, 8.26)","(7.898, 8.13)","(8.839, 11.91)","(9.498, 7.46)","(10.611, 11.72)","(11.925, 12.38)","(13.092, 9.79)","(14.138, 7.99)","(15.568, 10.11)","(16.887, 8.47)","(18.9, 11.92)","(19.928, 5.44)","(21.746, 9.12)","(22.907, 5.34)","(23.509, 2.63)","(25.638, 9.06)","(27.721, 8.12)","(29.156, 5.18)","(33.4, 14.56)","(37.065, 10.97)","(40.427, 9.07)","(43.516, 7.64)","(46.556, 6.99)","(45.828, -1.56)","(47.731, 4.15)","(51.338, 7.56)","(52.028, 1.34)","(54.957, 5.63)","(56.281, 2.41)","(54.778, -2.67)","(57.267, 4.54)","(57.987, 1.26)","(60.822, 4.89)","(61.867, 1.72)","(61.008, -1.39)","(67.55, 10.72)","(71.548, 5.92)","(69.284, -3.16)","(69.899, 0.89)","(74.187, 6.13)","(77.082, 3.9)"
district-of-columbia,"(10.796, 0)","(13.287, 23.07)","(15.715, 18.27)","(18.081, 15.06)","(20.08, 11.06)","(22.631, 12.7)","(24.809, 9.62)","(26.925, 8.53)","(28.983, 7.64)","(30.974, 6.87)","(32.902, 6.22)","(34.767, 5.67)","(36.575, 5.2)","(38.315, 4.76)","(40.13, 4.74)","(41.89, 4.39)","(43.67, 4.25)","(45.86, 5.01)","(47.18, 2.88)","(47.62, 0.93)","(48.36, 1.55)","(50.26, 3.93)","(51.73, 2.92)","(56.04, 8.33)","(58.27, 3.98)","(63.52, 9.01)","(67.99, 7.04)","(72.1, 6.05)","(78.11, 8.34)","(82.84, 6.06)","(87.15, 5.2)","(92.34, 5.96)","(97.36, 5.44)","(98.89, 1.57)","(103.29, 4.45)","(125.859, 21.85)","(126.422, 0.45)","(126.901, 0.38)","(129.689, 2.2)","(133.972, 3.3)","(137.49, 2.63)","(138.472, 0.71)","(141.251, 2.01)","(143.389, 1.51)"
florida,"(58.729, 0)","(65.272, 11.14)","(75.681, 15.95)","(86.263, 13.98)","(97.899, 13.49)","(112.167, 14.57)","(122.282, 9.02)","(136.768, 11.85)","(155.993, 14.06)","(170.894, 9.55)","(185.852, 8.75)","(204.816, 10.2)","(224.848, 9.78)","(241.633, 7.47)","(256.589, 6.19)","(267.669, 4.32)","(284.673, 6.35)","(304.403, 6.93)","(327.167, 7.48)","(346.951, 6.05)","(370.912, 6.91)","(401.689, 8.3)","(429.188, 6.85)","(456.798, 6.43)","(488.466, 6.93)","(516.559, 5.75)","(548.398, 6.16)","(583.447, 6.39)","(636.088, 9.02)","(697.26, 9.62)","(744.661, 6.8)","(768.568, 3.21)","(750.973, -2.29)","(725.658, -3.37)","(738.242, 1.73)","(746.535, 1.12)","(768.723, 2.97)","(800.886, 4.18)","(840.386, 4.93)","(897.755, 6.83)","(941.561, 4.88)","(990.097, 5.15)","(1050.298, 6.08)","(1106.5, 5.35)"
