state,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
alabama,"(228.143, 0.72)","(224.977, 0.44)","(219.814, 0.81)","(217.108, 0.95)","(214.819, 0.61)","(211.273, -2.85)","(212.015, 0.82)","(209.435, 1.64)","(208.161, 0.65)","(204.962, 0.4)","(199.857, -0.35)","(205.606, -1.92)","(206.676, 1.13)","(204.855, 0.51)","(200.851, 0.32)","(194.506, 0.16)","(182.178, 0.39)","(177.455, 0.41)","(173.111, 4.59)","(172.734, 0.7)","(170.276, 0.29)","(164.307, 0.26)","(157.916, 0)"
alaska,"(54.386, -0.62)","(55.262, 0.41)","(53.925, 0.49)","(52.835, -0.33)","(54.433, -0.09)","(60.391, -0.29)","(62.474, -0.27)","(64.797, 1.9)","(64.456, 0.25)","(61.847, 0.19)","(58.673, -0.09)","(65.201, 0.11)","(59.482, 0.15)","(55.415, 0.13)","(51.096, 0.11)","(46.331, 0.15)","(43.229, 0.2)","(41.045, 0.41)","(40.037, 0.27)","(38.557, 0.18)","(36.426, 1.23)","(36.129, -0.13)","(38.907, 0)"
arizona,"(370.119, 0.28)","(356.979, 0.28)","(344.108, 0.29)","(332.431, 0.28)","(320.424, 0.27)","(308.563, 0.6)","(303.412, 1.23)","(300.947, 0.51)","(295.063, 0.56)","(289.829, 1.63)","(288.053, -0.14)","(308.704, -0.32)","(318.329, 0.35)","(309.318, 0.19)","(293.094, 0.14)","(271.976, 0.28)","(262.131, 0.19)","(248.591, 0.34)","(241.274, 0.53)","(236.685, 0.28)","(228.268, 0.16)","(213.674, 0.15)","(199.498, 0)"
arkansas,"(130.954, 1.44)","(130.042, 0.7)","(128.179, 0.8)","(126.568, 5.39)","(126.333, 2.46)","(125.82, 0.89)","(124.412, 0.36)","(120.931, 1.81)","(120.263, 0.52)","(117.942, 0.35)","(114.604, -0.35)","(117.896, 7.32)","(117.735, 392.45)","(117.732, 0.45)","(115.119, 0.37)","(111.97, 0.2)","(106.485, 0.27)","(102.479, 0.34)","(99.448, 1.63)","(98.839, 1.51)","(98.184, 0.19)","(93.05, 0.33)","(90.221, 0)"
california,"(3132.801, 0.3)","(3028.194, 0.39)","(2950.762, 0.26)","(2836.412, 0.32)","(2746.582, 0.19)","(2598.781, 0.25)","(2495.096, 0.28)","(2407.062, 0.39)","(2344.817, 0.59)","(2305.213, 0.62)","(2267.978, -0.22)","(2369.714, -6.28)","(2373.485, 0.65)","(2336.955, 0.27)","(2250.731, 0.25)","(2161.649, 0.27)","(2081.329, 0.24)","(1993.63, 0.48)","(1952.294, -1.62)","(1964.352, 0.15)","(1834.188, 0.15)","(1711.86, 0.18)","(1615.589, 0)"
colorado,"(392.986, 0.28)","(379.102, 0.23)","(362.9, 0.24)","(348.042, 0.51)","(341.216, 0.34)","(331.137, 0.26)","(318.17, 0.29)","(307.15, 0.65)","(302.419, 0.8)","(298.631, 0.62)","(293.849, -0.27)","(304.617, 0.52)","(298.793, 0.28)","(288.255, 0.54)","(282.916, 0.23)","(270.631, 0.89)","(267.575, 0.91)","(264.64, 3.48)","(263.879, 0.65)","(259.811, 0.14)","(241.276, 0.14)","(224.229, 0.13)","(206.474, 0)"
connecticut,"(287.822, 0.95)","(284.777, 4.19)","(284.097, 3.38)","(283.256, 1.65)","(281.535, 0.23)","(269.488, 18.59)","(269.343, -0.57)","(274.055, 0.89)","(270.961, -0.38)","(278.062, -1.46)","(279.967, -0.43)","(286.454, -1.67)","(288.167, 0.28)","(277.857, 0.28)","(267.96, 0.5)","(262.564, 0.16)","(246.446, 1.03)","(244.043, 2.82)","(243.179, 0.51)","(238.429, 0.16)","(223.962, 0.32)","(216.875, 0.27)","(208.935, 0)"
delaware,"(77.082, 0.49)","(75.511, 0.28)","(72.855, -1.02)","(73.572, -0.23)","(76.773, 0.21)","(73.173, 0.12)","(67.309, -0.31)","(69.455, -5.11)","(69.591, 0.37)","(67.733, 11.1)","(67.672, 0.28)","(65.224, -0.21)","(68.318, -3.71)","(68.502, 0.41)","(66.814, -0.57)","(67.981, 0.22)","(64.907, 0.45)","(63.477, -0.31)","(65.504, 0.22)","(62.57, 0.2)","(59.429, 0.14)","(55.273, 0.11)","(50.368, 0)"
district-of-columbia,"(143.389, 0.67)","(141.251, 0.51)","(138.472, 1.41)","(137.49, 0.39)","(133.972, 0.31)","(129.689, 0.47)","(126.901, 2.65)","(126.422, 2.25)","(125.859, 0.65)","(123.93, 0.26)","(119.252, 1.61)","(118.513, 0.27)","(114.147, 0.31)","(110.413, 1.36)","(109.604, 0.37)","(106.673, 0.18)","(100.871, 0.26)","(97.057, 0.2)","(92.185, 0.21)","(87.757, 0.63)","(86.365, 0.18)","(81.69, 0.32)","(79.146, 0)"
florida,"(1106.5, 0.3)","(1069.048, 0.29)","(1031.967, 0.32)","(999.833, 0.27)","(963.32, 0.18)","(910.342, 0.34)","(883.607, 0.43)","(863.007, 0.98)","(854.173, -1.05)","(862.323, 1.79)","(857.501, -0.23)","(894.182, -0.23)","(932.934, 1.97)","(928.201, 0.28)","(895.413, 0.17)","(842.302, 0.17)","(793.4, 0.23)","(759.585, 0.23)","(726.801, 0.3)","(702.344, 0.23)","(671.499, 0.21)","(640.023, 0.19)","(605.757, 0)"
